track_name,artist_name,album_name,popularity,highly_popular
Rewrite The Stars,James Arthur,The Greatest Showman: Reimagined (Deluxe),72,False
"How Far I'll Go - From ""Moana""",Alessia Cara,"How Far I'll Go (From ""Moana"")",59,False
Heavy,Anne-Marie,Speak Your Mind (Deluxe),44,False
Scars To Your Beautiful,Alessia Cara,Know-It-All (Deluxe),70,False
like my father,Jax,like my father,61,False
Love Someone,Lukas Graham,Love Someone,60,False
Those Eyes,New West,Based On A True Story...,82,True
A Thousand Miles,Vanessa Carlton,Be Not Nobody,78,False
golden hour,JVKE,this is what ____ feels like (Vol. 1-4),79,False
drunk text,Henry Moodie,in all of my lonely nights,78,False
Night Changes,One Direction,FOUR (Deluxe),86,True
End of Beginning,Djo,DECIDE,89,True
Forever Young - 2019 Remaster,Alphaville,Forever Young (Super Deluxe Edition; 2019 Remaster),65,False
Name,The Goo Goo Dolls,A Boy Named Goo,72,False
ocean eyes,Billie Eilish,dont smile at me,83,True
93 Million Miles,Jason Mraz,Love Is a Four Letter Word,65,False
Enchanted (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),78,False
Missing You (with Ashe),Stephen Sanchez,Missing You,51,False
Bored,Billie Eilish,Bored,79,False
Beautiful Things,Benson Boone,Fireworks & Rollerblades,88,True
Older,Sasha Alex Sloan,Older,68,False
Colorblind,Rachel Grae,Journal No.1,50,False
In The Stars,Benson Boone,In The Stars,75,False
Sunsetz,Cigarettes After Sex,Cigarettes After Sex,84,True
All of the Stars,Ed Sheeran,The Fault In Our Stars: Music From The Motion Picture,59,False
Never Been in Love,Haley Mae Campbell,Never Been in Love,42,False
Come and Get Your Love - Single Version,Redbone,Come and Get Your Love,80,False
Safe and Sound,Capital Cities,In A Tidal Wave of Mystery,84,True
"Dear Maria, Count Me In",All Time Low,"So Wrong, It's Right",79,False
Paradise,Coldplay,Mylo Xyloto,84,True
I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things. (Bonus Tracks Version),80,False
Before The Day Is Over,Joji,SMITHEREENS,59,False
You & Me,James TW,Chapters,61,False
Hero,Enrique Iglesias,Escape,67,False
Make You Mine,PUBLIC,Make You Mine,71,False
Never Gonna Give You Up - Pianoforte,Rick Astley,The Best of Me,23,False
Every Breath You Take,The Police,Synchronicity (Remastered 2003),90,True
Duvet,bôa,Twilight,84,True
I Wanna Grow Old with You,Westlife,World of Our Own (Expanded Edition),58,False
Apocalypse,Cigarettes After Sex,Cigarettes After Sex,89,True
Somebody's Me,Enrique Iglesias,Insomniac (New International Version Spanish),51,False
Last Christmas,Wham!,LAST CHRISTMAS,74,False
How To Live,Brainheart,How To Live,32,False
Close To You - Acoustic,Brainheart,Close To You,35,False
Lover,Taylor Swift,Lover,86,True
the grudge,Olivia Rodrigo,GUTS,75,False
Glimpse of Us,Joji,SMITHEREENS,82,True
you were good to me,Jeremy Zucker,brent,69,False
I Won't Give Up,Jason Mraz,Love Is a Four Letter Word,69,False
Country Roads,The Gypsy Queens,The Gypsy Queens,50,False
comethru,Jeremy Zucker,"summer,",73,False
this is how you fall in love,Jeremy Zucker,brent ii,67,False
You Are the Reason,Emma Heesters,"Cover Sessions, Vol. 9",41,False
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",84,True
Anti-Hero,Taylor Swift,Midnights,81,True
Beggin (original version),Madcon,So Dark The Con Of Man,70,False
SOMEBODY LIKE YOU,Citizen,SOMEBODY LIKE YOU,40,False
Rewrite The Stars,Zac Efron,Rewrite The Stars,75,False
Outsider,Rachel Grae,Journal No.1,56,False
Grenade,Bruno Mars,Doo-Wops & Hooligans,77,False
Epiphany,Emma Heesters,Epiphany,21,False
Daylight,David Kushner,The Dichotomy,83,True
At My Worst,Pink Sweat$,PINK PLANET,69,False
Afterglow,Ed Sheeran,Afterglow,68,False
Down In My Heart,The Martial,Down In My Heart,30,False
Little Bit More,Suriel Hess,Little Bit More,60,False
Love Story (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),77,False
I Wanna Be Yours,Arctic Monkeys,AM,91,True
Ruin Me,Elevator Boys,Ruin Me,40,False
Marry You,Bruno Mars,Doo-Wops & Hooligans,77,False
Stitches,Shawn Mendes,Handwritten,84,True
you were there for me,Henry Moodie,in all of my lonely nights,63,False
Secret Love Song (feat. Jason Derulo),Little Mix,Get Weird (Expanded Edition),77,False
Hero (feat. Christina Perri),Cash Cash,"Blood, Sweat & 3 Years",64,False
Our Song,Anne-Marie,Our Song,57,False
pick up the phone,Henry Moodie,in all of my lonely nights,65,False
eighteen,Henry Moodie,eighteen,48,False
7 Years,Lukas Graham,Lukas Graham,83,True
Point of View,Zero Venture,Point of View,36,False
Locket,John Michael Howell,Locket,30,False
Good To Be,Mark Ambor,Rockwood,68,False
Love You Right,Abigail Fierce,Love You Right,20,False
Christmas Lights,Zach Seabaugh,Christmas Lights,46,False
When the World is Ending,Divine Sweater,Down Deep (A Nautical Apocalypse),31,False
Heat Waves,Glass Animals,Dreamland,85,True
Rocketship,Llunr,Rocketship,48,False
Cupid - Twin Version,FIFTY FIFTY,The Beginning,74,False
Strawberries & Cigarettes,Troye Sivan,Strawberries & Cigarettes,75,False
Hurts So Good,Astrid S,Leave It Beautiful (Complete),71,False
Don't Say,Hoang,Don't Say,43,False
Million Days,SABAI,Million Days,60,False
Good in My Shoes,Jordyn Sugar,Good in My Shoes,16,False
Lights Out,Rick Astley,The Best of Me,18,False
Girl in the Mirror,Abigail Fierce,Girl in the Mirror,30,False
Barcelona,Ed Sheeran,÷ (Deluxe),62,False
